,MKT,Rf
1991-01-12,0.004713566,0.000425316
1991-01-14,-0.042361058,0.000423907
1991-01-15,-0.01805898,0.000423438
1991-01-16,0.045782111,0.000423438
1991-01-17,0.04042593,0.000423438
1991-01-18,-0.006368472,0.000422968
1991-01-19,-0.039496305,0.000422733
1991-01-21,-0.006264621,0.000420853
1991-01-22,-0.012165835,0.000419913
1991-01-23,0.020472794,0.000418266
1991-01-24,-0.007946459,0.000416148
1991-01-25,-0.001184928,0.000412142
1991-01-26,0.002736476,0.000411198
1991-01-28,0.002713233,0.000409075
1991-01-29,0.00383859,0.000407894
1991-01-30,-0.004215706,0.000408602
1991-01-31,-0.00451684,0.000408839
1991-02-01,0.003462286,0.000407658
1991-02-02,-0.003040711,0.000407658
1991-02-04,-0.001359061,0.000407422
1991-02-05,0.005902552,0.000407422
1991-02-06,-0.002123777,0.000407422
1991-02-07,-0.008607779,0.000407422
1991-02-08,0.003848295,0.000407422
1991-02-09,-0.002692984,0.000407422
1991-02-11,0.029448671,0.000408366
1991-02-12,-0.004937433,0.000408366
1991-02-13,0.045246624,0.000408366
1991-02-18,-0.006883354,0.000408602
1991-02-19,0.000687131,0.000407658
1991-02-20,0.003269096,0.000406949
1991-02-21,0.005951495,0.000406477
1991-02-22,0.013740571,0.000406004
1991-02-23,0.010811363,0.000405768
1991-02-25,-0.022416282,0.000405295
1991-02-26,-0.008209429,0.000404349
1991-02-27,0.005746528,0.000404113
1991-02-28,0.002930858,0.000403876
1991-03-02,-0.010523209,0.000403876
1991-03-04,-0.000880045,0.000403876
1991-03-05,0.009763671,0.000404113
1991-03-06,-0.002217721,0.000403876
1991-03-07,0.001585491,0.000404349
1991-03-08,0.008565849,0.000404349
1991-03-09,-0.0005134,0.000404349
1991-03-11,0.003595644,0.000405531
1991-03-12,-0.006756065,0.000406477
1991-03-13,-0.003091827,0.000406713
1991-03-14,0.008654428,0.000406949
1991-03-15,-0.004875763,0.000406949
1991-03-16,-0.002192337,0.000406949
1991-03-18,-0.008832854,0.000406949
1991-03-19,-0.004165675,0.00040813
1991-03-20,-0.008948847,0.00040813
1991-03-21,-0.005336388,0.000410019
1991-03-22,-0.000515284,0.000410255
1991-03-23,0.006914434,0.000410963
1991-03-25,-0.013357428,0.000412613
1991-03-27,-0.004884154,0.000414735
1991-03-28,-0.004816099,0.000415206
1991-03-29,0.016968744,0.000418031
1991-03-30,-0.01485186,0.000418031
1991-04-01,-0.009983847,0.000419207
1991-04-02,0.009121139,0.000420383
1991-04-03,0.007252514,0.000426724
1991-04-04,-0.004800196,0.000427896
1991-04-06,-0.006973886,0.000427896
1991-04-08,-0.000649692,0.00043796
1991-04-09,-0.000448889,0.000440995
1991-04-10,-0.006643438,0.000445425
1991-04-11,-0.003149066,0.000448685
1991-04-12,-0.001923558,0.000453102
1991-04-13,-0.005781796,0.000453567
1991-04-15,0.001402635,0.000453567
1991-04-16,-0.004501031,0.000454728
1991-04-17,-0.010528812,0.000461453
1991-04-18,0.003898449,0.000464926
1991-04-19,-0.012350198,0.000464926
1991-04-20,-0.007992652,0.000464926
1991-04-22,0.036110525,0.000462611
1991-04-23,-0.008168193,0.000458441
1991-04-24,-0.009911006,0.000454264
1991-04-25,0.012660451,0.000450778
1991-04-26,0.006968421,0.000449848
1991-04-27,0.009221713,0.000449848
1991-04-29,0.001566863,0.000447521
1991-04-30,-0.001889686,0.00044659
1991-05-01,0.012228619,0.000445891
1991-05-02,-0.004859951,0.000444959
1991-05-03,-0.005546141,0.000444027
1991-05-04,-0.007560031,0.000443327
1991-05-06,-0.008507383,0.000443327
1991-05-07,-0.006376246,0.000443327
1991-05-08,0.005704145,0.000442861
1991-05-09,-0.007704185,0.000443327
1991-05-10,-0.001047902,0.000442628
1991-05-11,0.002654291,0.000442628
1991-05-13,0.012316911,0.000442628
1991-05-14,-0.010084402,0.000442628
1991-05-15,0.005188478,0.000444959
1991-05-16,0.001731057,0.000446124
1991-05-17,-0.000267065,0.000446124
1991-05-18,-0.012052547,0.000446822
1991-05-20,-0.006982552,0.000447288
1991-05-22,0.000912993,0.000447288
1991-05-23,-0.008961577,0.00044915
1991-05-24,-0.003229505,0.000451011
1991-05-25,1.61998E-05,0.000451476
1991-05-27,-0.005637453,0.000453567
1991-05-28,-0.002427422,0.000454496
1991-05-29,0.00230268,0.000455425
1991-05-30,-0.003894157,0.000456353
1991-05-31,0.001832011,0.000456353
1991-06-01,-0.012016915,0.000456353
1991-06-03,-0.006478161,0.000456817
1991-06-04,0.020160016,0.000457745
1991-06-05,-0.015065791,0.000458209
1991-06-07,0.002532819,0.000459136
1991-06-08,0.001568692,0.000459832
1991-06-10,0.002143269,0.000462148
1991-06-11,0.005116394,0.000463074
1991-06-12,-0.001489459,0.000463537
1991-06-13,0.005999508,0.000463074
1991-06-14,-0.000228121,0.000463537
1991-06-15,-0.007823068,0.000463537
1991-06-17,-0.00325246,0.000465157
1991-06-18,-0.004153002,0.000465157
1991-06-19,-0.010889172,0.000466544
1991-06-21,-0.01191253,0.000468624
1991-06-22,0.004199333,0.000468624
1991-06-24,0.003642189,0.000468624
1991-06-25,0.00401539,0.000468624
1991-06-26,0.008383534,0.000469317
1991-06-27,-1.65945E-05,0.000470933
1991-06-28,0.0044308,0.000472087
1991-06-29,0.019214565,0.000472087
1991-07-01,-0.008510293,0.000472087
1991-07-02,-0.014420011,0.000470933
1991-07-03,0.000895775,0.000469779
1991-07-04,0.018578981,0.000469779
1991-07-05,-0.006752579,0.000468624
1991-07-06,0.011057779,0.000467469
1991-07-08,-0.004471953,0.000462843
1991-07-09,-0.000439439,0.000462843
1991-07-10,0.012358544,0.000464
1991-07-11,0.016148229,0.000464
1991-07-12,0.007470955,0.000464
1991-07-13,-0.002026709,0.000464
1991-07-15,0.001464083,0.000465157
1991-07-16,0.023784073,0.000465157
1991-07-18,-0.001857908,0.000465157
1991-07-19,0.004122696,0.000464926
1991-07-20,0.010341024,0.000464231
1991-07-22,-0.001849914,0.000463537
1991-07-23,0.011894815,0.000461917
1991-07-24,-0.002672271,0.000460527
1991-07-25,0.015083092,0.000459368
1991-07-26,0.027997746,0.000457281
1991-07-27,0.030365541,0.000457049
1991-07-29,0.028294622,0.000455889
1991-07-30,-0.023758305,0.00045496
1991-07-31,-0.002900855,0.000453567
1991-08-01,0.025288482,0.000453567
1991-08-02,0.020626714,0.000453567
1991-08-03,0.013406402,0.000453799
1991-08-05,0.006489224,0.000454496
1991-08-06,-0.02808282,0.000454264
1991-08-07,-0.004813462,0.000454264
1991-08-08,0.009524455,0.000454728
1991-08-09,-0.031605223,0.000455657
1991-08-10,-0.021508357,0.000455425
1991-08-12,0.00511288,0.000455889
1991-08-13,-0.023320698,0.000457281
1991-08-14,0.013172322,0.000459136
1991-08-16,-0.004699181,0.000460527
1991-08-17,-0.041962944,0.000460527
1991-08-19,0.024610973,0.000462843
1991-08-20,0.005771753,0.000461685
1991-08-21,0.038967626,0.000461222
1991-08-22,-0.021298556,0.000460527
1991-08-23,-0.005615095,0.000460063
1991-08-24,0.004672227,0.000460063
1991-08-26,-0.015206847,0.000460063
1991-08-27,0.002810209,0.000462611
1991-08-28,-0.009880395,0.000462611
1991-08-29,0.001123366,0.000462611
1991-08-30,-0.004517568,0.000462611
1991-08-31,-0.011696506,0.000462611
1991-09-02,0.00081467,0.000462843
1991-09-03,0.011647698,0.000463537
1991-09-04,-0.012771747,0.000463769
1991-09-05,0.000192647,0.000464926
1991-09-06,0.010312028,0.000465157
1991-09-07,0.010778707,0.000465157
1991-09-09,-0.000812477,0.000468624
1991-09-10,0.002933105,0.000469779
1991-09-11,-0.010713614,0.000468624
1991-09-12,-0.003600123,0.000468624
1991-09-13,0.011544393,0.000468624
1991-09-14,-0.004893206,0.000468624
1991-09-16,-0.00348732,0.000469779
1991-09-17,0.00371916,0.000471626
1991-09-18,-0.002611271,0.000472087
1991-09-19,0.007810443,0.000474394
1991-09-20,-0.007416115,0.000475316
1991-09-24,-0.005307561,0.000477849
1991-09-25,-0.001205351,0.000479
1991-09-26,0.008432919,0.000481301
1991-09-27,0.009529925,0.000481301
1991-09-28,0.019284702,0.000481301
1991-09-30,0.002198332,0.000481301
1991-10-01,-0.002051993,0.000481301
1991-10-02,0.021767492,0.000481301
1991-10-04,-0.011116817,0.000481301
1991-10-05,0.001908718,0.000481301
1991-10-07,-0.008586877,0.000481301
1991-10-08,0.002303073,0.000481531
1991-10-09,0.008500381,0.000481531
1991-10-10,-0.009938357,0.000481531
1991-10-11,-0.008908655,0.000480151
1991-10-12,0.00259263,0.000480151
1991-10-14,-0.005157642,0.00047877
1991-10-15,-0.011597018,0.00047877
1991-10-16,0.005346357,0.00047854
1991-10-17,0.001106703,0.00047854
1991-10-18,0.002455027,0.000477389
