Code,,1989-12,1990-12,1991-12,1992-12,1993-12,1994-12,1995-12,1996-12,1997-12,1998-12,1999-12,2000-12,2001-12,2002-12,2003-12,2004-12,2005-12,2006-12,2007-12,2008-12,2009-12,2010-12,2011-12,2012-12,2013-12,2014-12,2015-12,2016-12,2017-12,2018-12,2019-12,2020-07
A034940,자본총계,,,,,,,,,11490114.000000 ,13290625.000000 ,21061304.000000 ,33057354.000000 ,30114467.000000 ,23973657.000000 ,12413429.000000 ,13645468.000000 ,30981288.000000 ,29949446.000000 ,35797382.000000 ,39513550.000000 ,39875086.000000 ,42237250.000000 ,47946601.740000 ,50012381.740000 ,50626052.400000 ,46089873.390000 ,47154562.640000 ,47064645.270000 ,53184873.190000 ,52909128.460000 ,51749149.130000 ,
A034940,우선주자본금,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A034940,이연법인세자산,,,,,,,,,,,105737.000000 ,80996.000000 ,1174873.000000 ,1174873.000000 ,,,,,52925.000000 ,,,,,482695.740000 ,621765.090000 ,749438.840000 ,1075399.130000 ,1155562.480000 ,458149.370000 ,981208.600000 ,1243825.040000 ,
A034940,영업이익,,,,,,,,,6663015.000000 ,3690620.000000 ,4937633.000000 ,-597205.000000 ,-243884.000000 ,-1263682.000000 ,-6122518.000000 ,2581117.000000 ,1100035.000000 ,-2947930.000000 ,-2880068.000000 ,-1196692.000000 ,237285.000000 ,2002651.000000 ,2483017.390000 ,742465.530000 ,1647610.500000 ,-4039981.820000 ,140292.790000 ,-4832.410000 ,317661.150000 ,1325057.390000 ,-366384.490000 ,
A034940,자산총계,,,,,,,,,27021262.000000 ,27963568.000000 ,40921414.000000 ,69008406.000000 ,66042357.000000 ,52938875.000000 ,40032834.000000 ,30965035.000000 ,48133930.000000 ,66422776.000000 ,55002997.000000 ,55220263.000000 ,53641657.000000 ,56092949.000000 ,62121669.110000 ,64117396.290000 ,70815019.720000 ,74046792.500000 ,74347704.460000 ,75097367.240000 ,83518178.100000 ,84040798.180000 ,86742091.150000 ,
A030210,자본총계,,,,,,,,186454634.000000 ,186369949.000000 ,47466644.000000 ,696567662.000000 ,352199523.000000 ,344520903.000000 ,311297222.000000 ,325550097.000000 ,227539500.000000 ,300760000.000000 ,310334601.000000 ,358295552.000000 ,466731076.000000 ,442501203.000000 ,486102500.000000 ,498476168.000000 ,479222903.000000 ,429997708.000000 ,377688160.180000 ,421202219.640000 ,457858804.860000 ,490326380.740000 ,526887512.020000 ,580461886.180000 ,
A030210,우선주자본금,,,,,,,,,,,,,,,,,,,,51413700.000000 ,51413700.000000 ,51413700.000000 ,51414000.000000 ,51414000.000000 ,51413700.000000 ,51413700.000000 ,51413700.000000 ,51413700.000000 ,51413700.000000 ,51413700.000000 ,51413700.000000 ,
A030210,이연법인세자산,,,,,,,,0.000000 ,0.000000 ,0.000000 ,10623761.000000 ,10982720.000000 ,11662269.000000 ,17212105.000000 ,16856103.000000 ,16856103.000000 ,16655520.000000 ,14567825.000000 ,15727679.000000 ,18003491.000000 ,14368460.000000 ,11523514.000000 ,18208112.000000 ,18263423.000000 ,19086377.000000 ,15290911.060000 ,10792968.630000 ,11746987.540000 ,11199276.240000 ,10403146.920000 ,7750035.650000 ,
A030210,영업이익,,,,,,,,24336058.000000 ,10159330.000000 ,-132250810.000000 ,130278212.000000 ,198597788.000000 ,7190602.000000 ,-36243746.000000 ,749822.000000 ,-81447799.000000 ,21039952.000000 ,21625978.000000 ,23914631.000000 ,-11281686.000000 ,-61536818.000000 ,14718250.000000 ,10695600.000000 ,19329337.000000 ,-36656025.000000 ,7786821.070000 ,9985391.270000 ,28726601.200000 ,42793789.290000 ,37118642.350000 ,37535392.090000 ,
A030210,자산총계,,,,,,,,2620565321.000000 ,3152247173.000000 ,2173138850.000000 ,2199992812.000000 ,1659294962.000000 ,1156821702.000000 ,924818349.000000 ,691457362.000000 ,512879882.000000 ,550487389.000000 ,476020959.000000 ,514096610.000000 ,704650214.000000 ,906955001.000000 ,1561799486.000000 ,1801888044.000000 ,1960074992.000000 ,893770784.000000 ,1043780273.830000 ,1020430402.280000 ,1359572738.950000 ,1888899368.730000 ,1750744641.240000 ,2859631286.640000 ,
A036190,자본총계,,,,,,,,,3975670.000000 ,7876900.000000 ,18652696.000000 ,19059266.000000 ,21741838.000000 ,23917424.000000 ,24883322.000000 ,26970881.000000 ,30975329.000000 ,34075132.000000 ,40113234.000000 ,47766842.000000 ,55288654.000000 ,65471708.000000 ,76345246.900000 ,90163134.000000 ,117616925.710000 ,133525937.710000 ,149051008.570000 ,168709929.430000 ,183057313.940000 ,220727037.780000 ,239409631.000000 ,
A036190,우선주자본금,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A036190,이연법인세자산,,,,,,,,,,,,,,,,,,,,,,,,,79588.850000 ,127251.340000 ,190520.000000 ,338182.530000 ,402328.110000 ,535417.560000 ,151626.000000 ,
A036190,영업이익,,,,,,,,,1219387.000000 ,4950646.000000 ,5609433.000000 ,5236233.000000 ,3070730.000000 ,2981146.000000 ,2395458.000000 ,2500781.000000 ,2857022.000000 ,3230966.000000 ,7085752.000000 ,10252747.000000 ,10814617.000000 ,12628351.000000 ,15670906.060000 ,20453131.340000 ,27103680.180000 ,23448696.410000 ,27682715.290000 ,29816098.000000 ,33863832.500000 ,41384787.490000 ,34327291.000000 ,
